Timestamp,ECG,GSR,Gas,Pulse_IR,Temp_Max,Label
31601,986,26416,111,102201,35.00,-7.22,-4.97
31623,795,26416,109,102143,35.00,-7.22,-4.94
31645,1085,26416,105,101845,35.00,-7.21,-4.95
31667,1685,25904,110,101412,35.00,-7.28,-4.94
31709,1428,26416,95,100602,35.00,-7.24,-4.93
31731,1255,26416,77,100484,35.00,-7.24,-4.95
31753,1077,26416,71,100397,35.00,-7.27,-4.95
31775,1137,26416,82,100338,35.00,-7.22,-4.92
31797,1286,26416,105,100334,35.00,-7.25,-4.93
31819,1352,26416,120,100386,35.00,-7.25,-4.96
31841,1432,26416,133,100520,35.00,-7.26,-4.96
31863,1443,26416,145,100657,35.00,-7.26,-4.94
31885,1847,26416,149,100753,35.00,-7.24,-4.90
31907,2257,26416,146,100817,35.00,-7.25,-4.93
31929,2357,26416,127,100871,35.00,-7.26,-4.90
31970,2607,26416,127,101044,35.00,-7.24,-4.93
31992,2585,26416,126,101130,35.00,-7.22,-4.92
32713,2471,26416,133,101207,35.40,-7.23,-4.95
32752,1827,27312,147,101145,35.00,-7.27,-4.98
32774,2429,27312,184,101220,35.00,-7.25,-4.93
32796,2837,27312,205,101297,35.00,-7.28,-4.95
32818,2933,27312,243,101363,35.00,-7.26,-4.91
32840,3409,27312,281,101435,35.00,-7.24,-4.96
32862,3449,27312,294,101489,35.00,-7.27,-4.94
32884,2762,27312,251,101548,35.00,-7.23,-4.95
32906,2148,27312,219,101594,35.00,-7.22,-4.93
32928,1955,27312,202,101642,35.00,-7.25,-4.96
32950,2073,27312,215,101685,35.00,-7.24,-5.00
32992,1925,28080,150,101903,35.00,-7.27,-4.93
33733,603,28080,87,101958,35.24,-7.25,-4.93
33774,1951,28784,149,102133,35.00,-7.30,-4.92
33796,1870,28592,147,102025,35.00,-7.21,-4.92
33818,1637,28592,139,101706,35.00,-7.25,-4.91
33840,1361,28784,139,101271,35.00,-7.28,-4.94
33862,1233,28784,146,100899,35.00,-7.24,-4.95
33884,1336,28784,171,100671,35.00,-7.26,-4.91
33906,1432,28784,169,100535,35.00,-7.27,-4.95
33928,1517,28592,167,100452,35.00,-7.28,-4.97
33950,1384,28784,143,100390,35.00,-7.30,-4.93
33972,1187,28592,118,100352,35.00,-7.23,-4.92
33994,841,28784,91,100389,35.00,-7.26,-4.95
34035,738,28784,87,100713,35.00,-7.23,-4.95
34057,1097,28784,83,100819,35.00,-7.25,-4.94
34079,1273,28784,107,100883,35.00,-7.23,-4.94
34101,1427,28784,136,100942,35.00,-7.27,-4.95
34123,1337,28784,137,101010,35.00,-7.26,-4.91
34145,1205,28784,147,101067,35.00,-7.25,-4.97
34167,1403,28784,161,101140,35.00,-7.27,-4.94
34189,1883,28784,191,101206,35.00,-7.25,-4.95
34211,2727,28784,231,101282,35.00,-7.22,-4.95
34233,3847,28784,286,101365,35.00,-7.21,-4.91
34275,3867,28784,265,101607,35.00,-7.26,-4.95
34297,1879,28784,109,101679,35.00,-7.24,-4.96
34319,1330,28784,98,101744,35.00,-7.25,-4.98
34341,797,28784,92,101815,35.00,-7.24,-4.93
34363,788,28784,103,101865,35.00,-7.26,-4.95
34385,933,28784,125,101933,35.00,-7.25,-4.96
34407,1189,28784,153,102002,35.00,-7.23,-4.94
34429,1353,28784,149,102081,35.00,-7.30,-4.95
34451,1197,28784,136,102142,35.00,-7.27,-4.94
34473,1531,28784,152,102223,35.00,-7.26,-4.97
34495,2375,28784,179,102280,35.00,-7.24,-4.91
34536,2461,28784,167,101966,35.00,-7.26,-4.93
34558,1741,28784,108,101532,35.00,-7.26,-4.94
34580,1689,28784,110,101130,35.00,-7.24,-4.95
34602,1461,28784,110,100850,35.00,-7.25,-4.89
34624,1621,28784,142,100692,35.00,-7.27,-4.95
34646,1752,28784,165,100574,35.00,-7.25,-4.96
34668,2205,28784,184,100499,35.00,-7.21,-4.95
34690,2281,28784,192,100442,35.00,-7.25,-4.96
34712,2506,28784,197,100441,35.00,-7.27,-4.96
34734,2475,28784,182,100495,35.00,-7.28,-4.96
34777,2493,28784,165,100860,35.00,-7.23,-4.96
34799,2439,28784,141,100940,35.00,-7.25,-4.94
34821,1823,28784,127,101013,35.00,-7.24,-4.95
34843,1811,28784,136,101068,35.00,-7.24,-4.95
34865,1423,28784,147,101138,35.00,-7.27,-4.94
34887,1493,28784,155,101206,35.00,-7.25,-4.96
34909,1439,28784,167,101283,35.00,-7.27,-4.92
34931,1533,28784,155,101348,35.00,-7.24,-4.92
34953,1711,28784,153,101435,35.00,-7.24,-4.93
34975,1759,29296,138,101515,35.00,-7.24,-4.92
35518,1543,29296,119,101737,35.16,-7.24,-4.94
35559,2902,28784,183,100965,35.00,-7.24,-4.91
35581,2565,28784,179,101035,35.00,-7.24,-4.96
35603,2389,29296,183,101105,35.00,-7.24,-4.94
35625,2333,28784,203,101173,35.00,-7.28,-4.91
35647,2086,28784,215,101250,35.00,-7.27,-4.94
35669,1983,28784,218,101308,35.00,-7.30,-4.92
35691,2053,28784,219,101387,35.00,-7.27,-4.97
35713,2093,28784,210,101467,35.00,-7.25,-4.94
35735,2057,28784,192,101529,35.00,-7.25,-4.92
35757,2019,28784,181,101585,35.00,-7.25,-4.92
35799,1945,29296,173,101754,35.00,-7.24,-4.95
35821,1835,29296,160,101798,35.00,-7.24,-4.93
35843,1497,29296,167,101852,35.00,-7.25,-4.96
35865,1197,29296,166,101925,35.00,-7.27,-4.92
35887,1095,29296,175,101988,35.00,-7.25,-5.00
35909,979,29296,179,102055,35.00,-7.24,-4.95
35931,787,28784,173,102105,35.00,-7.24,-4.93
35953,632,29296,159,102158,35.00,-7.21,-4.90
35975,441,29296,136,102190,35.00,-7.25,-4.92
35997,346,28784,115,102147,35.00,-7.25,-4.96
36040,270,29296,101,101056,35.00,-7.20,-4.95
36062,30,28784,79,100787,35.00,-7.24,-4.93
36084,27,29296,89,100641,35.00,-7.26,-4.94
36106,0,29296,99,100536,35.00,-7.23,-4.97
36128,0,29296,111,100479,35.00,-7.25,-4.93
36150,242,29296,113,100419,35.00,-7.24,-5.00
36172,435,29296,118,100418,35.00,-7.22,-5.00
36194,665,29296,107,100471,35.00,-7.25,-4.93
36216,773,29296,92,100593,35.00,-7.23,-4.94
36238,1096,29296,89,100720,35.00,-7.26,-4.90
36280,1293,28784,85,100936,35.00,-7.23,-4.92
36302,1509,29296,87,100979,35.00,-7.26,-4.97
36324,1695,28784,105,101050,35.00,-7.29,-4.95
36346,1828,29296,118,101116,35.00,-7.26,-4.92
36368,1851,28784,139,101183,35.00,-7.24,-4.94
36390,2108,28784,153,101243,35.00,-7.22,-4.95
36412,2331,29296,157,101322,35.00,-7.24,-4.93
36434,2649,29296,159,101399,35.00,-7.22,-4.95
36456,2860,29296,157,101466,35.00,-7.25,-4.92
36478,2887,29296,157,101549,35.00,-7.26,-4.94
