Timestamp,ECG,GSR,Gas,Pulse_IR,Temp_Max,Label
21672,3848,67332,215,99169,35.00,-8.76,-3.97
21694,2941,67332,190,99213,35.00,-8.76,-3.95
21716,2684,67716,173,99265,35.00,-8.75,-3.95
21738,2301,68996,165,99314,35.00,-8.76,-3.92
21760,933,69508,154,99376,35.00,-8.68,-3.92
21782,1513,69700,173,99429,35.00,-8.76,-3.93
21804,2476,68228,199,99487,35.00,-8.76,-3.94
21826,2232,61560,186,99554,35.00,-8.71,-3.88
21869,2781,56792,211,99736,35.00,-8.61,-3.92
21891,2765,51352,203,99799,35.00,-8.77,-3.94
21913,2998,51864,199,99879,35.00,-8.68,-4.01
21935,2166,51864,169,99937,35.00,-8.70,-3.98
21957,1979,51352,164,99995,35.00,-8.75,-3.96
21979,1769,51864,153,100054,35.00,-8.66,-3.95
22398,647,53336,140,100122,36.40,-8.86,-3.99
22430,925,108716,137,99065,35.00,-8.69,-3.99
22452,1829,108716,182,99123,35.00,-8.64,-3.99
22474,2863,108332,191,99183,35.00,-8.73,-4.03
22496,2201,107820,178,99245,35.00,-8.77,-3.99
22518,1747,107052,151,99304,35.00,-8.71,-3.99
22540,1495,107052,157,99357,35.00,-8.71,-3.99
22562,0,106540,149,99424,35.00,-8.73,-3.99
22584,2407,106444,228,99486,35.00,-8.71,-4.01
22606,4095,106444,223,99553,35.00,-8.67,-4.01
22628,2391,105932,190,99615,35.00,-8.73,-4.02
22671,2218,105932,190,99812,35.00,-8.73,-3.96
22693,4095,105164,231,99888,35.00,-8.74,-3.92
22715,319,105164,122,99961,35.00,-8.71,-4.03
22737,2255,104652,163,100021,35.00,-8.71,-4.00
22759,1195,104268,147,100091,35.00,-8.77,-4.07
22781,1716,103756,169,100144,35.00,-8.61,-4.04
22803,557,103756,167,100216,35.00,-8.59,-3.95
22825,2231,103756,200,100288,35.00,-8.66,-3.96
22847,1902,104268,210,100355,35.00,-8.75,-3.98
22869,837,104268,174,100421,35.00,-8.82,-4.02
22911,747,103756,167,99996,35.00,-8.66,-4.09
22933,1803,102988,169,99719,35.00,-8.70,-4.09
22955,0,101772,139,99452,35.00,-8.62,-4.08
22977,1173,98828,164,99233,35.00,-8.71,-4.09
22999,313,97780,147,99039,35.00,-8.53,-3.93
23021,529,97780,153,98877,35.00,-8.75,-4.05
23043,1221,97012,187,98763,35.00,-8.70,-4.09
23065,1453,97012,189,98681,35.00,-8.65,-4.06
23087,3315,96500,223,98659,35.00,-8.63,-4.05
23109,4095,95604,227,98678,35.00,-8.71,-3.99
23131,4095,94132,211,98758,35.00,-8.78,-4.08
23172,4095,91444,197,99003,35.00,-8.71,-4.04
23194,2076,80100,152,99059,35.00,-8.46,-3.91
23216,1683,75044,165,99086,35.00,-8.56,-4.10
23238,981,69700,141,99112,35.00,-8.58,-4.10
23260,2095,63352,169,99116,35.00,-8.49,-4.02
23282,1413,58680,169,99135,35.00,-8.66,-4.17
23304,180,56792,165,99143,35.00,-8.58,-4.09
23326,0,54616,167,99172,35.00,-8.66,-4.08
23348,1259,53336,185,99211,35.00,-8.71,-4.00
23370,1083,51864,173,99257,35.00,-8.69,-3.93
23413,1799,51352,181,99453,35.00,-8.90,-4.04
23435,3911,51864,207,99538,35.00,-8.87,-3.99
23457,4095,52632,207,99617,35.00,-8.80,-4.07
23479,4095,53336,205,99681,35.00,-8.68,-4.09
23501,4095,55128,213,99735,35.00,-8.55,-4.13
23523,2589,56024,189,99810,35.00,-8.46,-4.11
23545,0,57304,155,99883,35.00,-8.56,-4.15
23567,0,57304,171,99954,35.00,-8.57,-4.07
23589,1838,57912,203,100020,35.00,-8.65,-3.99
23611,2643,58680,198,100092,35.00,-8.70,-3.87
23653,1401,59576,152,99904,35.00,-8.79,-3.88
23675,2796,61368,164,99598,35.00,-8.79,-3.90
23697,1711,62072,149,99274,35.00,-8.75,-4.08
23719,2824,62840,181,98981,35.00,-8.77,-4.03
23741,1663,63352,172,98707,35.00,-8.72,-3.93
23763,1077,63736,165,98504,35.00,-8.63,-4.00
23785,2275,64248,203,98377,35.00,-8.70,-4.08
23807,1075,64248,175,98285,35.00,-8.68,-4.06
23829,1723,65016,182,98245,35.00,-8.70,-4.05
23851,1854,65540,173,98223,35.00,-8.73,-3.97
23873,1929,66820,171,98277,35.00,-8.71,-3.92
23914,2133,66820,169,98559,35.00,-8.69,-3.90
23936,2203,66820,156,98657,35.00,-8.79,-3.98
23958,1524,66820,155,98729,35.00,-8.76,-3.97
23980,1555,66820,175,98796,35.00,-8.67,-3.94
24685,1402,66820,183,98851,36.30,-8.67,-3.98
24716,0,58680,169,98779,35.00,-8.61,-4.02
24738,0,57304,145,98842,35.00,-8.68,-4.10
24760,0,55128,165,98892,35.00,-8.70,-4.03
24782,1487,53848,198,98958,35.00,-8.62,-4.07
24804,2167,53848,216,99028,35.00,-8.68,-4.05
24826,1944,53848,205,99087,35.00,-8.73,-4.06
24848,1402,54616,173,99172,35.00,-8.70,-4.04
24870,2705,54616,201,99254,35.00,-8.64,-4.05
24892,1229,55128,138,99324,35.00,-8.64,-4.08
24914,171,55512,137,99413,35.00,-8.67,-4.04
24957,0,55512,149,99625,35.00,-8.67,-4.12
24979,1629,55512,185,99704,35.00,-8.61,-4.04
25702,1015,56024,168,99774,36.23,-8.60,-4.03
25739,2155,57912,199,99746,35.00,-8.71,-4.03
25761,1285,57912,174,99833,35.00,-8.73,-4.01
25783,3852,57912,229,99918,35.00,-8.66,-4.04
25805,1259,57912,184,99985,35.00,-8.80,-4.00
25827,2779,57912,205,100067,35.00,-8.77,-4.08
25849,409,57912,151,100133,35.00,-8.82,-4.02
25871,4095,57912,212,100220,35.00,-8.63,-3.94
25893,1139,57912,149,100301,35.00,-8.65,-3.94
25915,523,57912,173,100373,35.00,-8.82,-3.94
25937,2679,57912,235,100451,35.00,-8.94,-4.10
25979,2397,57912,212,100021,35.00,-8.70,-4.05
26718,2166,57912,211,99712,36.60,-8.64,-4.02
26743,4095,59576,206,99616,35.00,-8.68,-3.83
26765,4095,59576,190,99279,35.00,-8.77,-3.83
26787,4095,59576,187,98948,35.00,-8.72,-3.97
26809,4095,60088,188,98656,35.00,-8.93,-3.85
26831,4095,60856,191,98430,35.00,-8.76,-3.95
26853,1591,61368,153,98255,35.00,-8.78,-3.88
26875,2825,61368,207,98110,35.00,-8.82,-3.88
26897,972,61560,157,97996,35.00,-8.88,-3.84
26919,1963,61560,217,97919,35.00,-8.93,-3.95
26941,1635,61560,183,97926,35.00,-8.91,-3.89
26982,2129,61560,183,98289,35.00,-8.93,-3.91
27735,2056,61368,189,98444,36.00,-8.87,-3.88
27764,4095,59576,215,98520,35.00,-8.74,-3.87
27786,4095,59576,189,98629,35.00,-8.69,-3.79
27808,4095,59576,198,98689,35.00,-8.72,-3.77
27830,4095,60088,199,98735,35.00,-8.72,-3.90
27852,4095,60088,202,98765,35.00,-8.77,-3.96
27874,4095,60088,212,98787,35.00,-8.76,-4.02
27896,4095,60088,204,98832,35.00,-8.77,-4.05
27918,4095,60088,205,98876,35.00,-8.66,-4.03
27940,4095,60088,205,98932,35.00,-8.69,-4.01
27962,4095,60088,202,98995,35.00,-8.75,-4.00
28505,4095,60088,186,99217,36.50,-8.78,-3.95
28546,0,59576,158,98317,35.00,-8.59,-4.10
28568,0,59576,163,98447,35.00,-8.48,-4.18
28590,0,59576,163,98553,35.00,-8.44,-4.27
28612,0,59576,174,98643,35.00,-8.62,-4.20
28634,0,59576,177,98728,35.00,-8.50,-4.11
28656,0,59576,176,98806,35.00,-8.60,-4.15
28678,0,59576,173,98904,35.00,-8.56,-4.13
28700,0,59576,165,98995,35.00,-8.68,-4.05
28722,0,59576,157,99089,35.00,-8.69,-4.12
28744,0,59576,153,99184,35.00,-8.70,-4.09
28787,2204,59576,200,99457,35.00,-8.61,-4.14
28809,4095,59576,214,99548,35.00,-8.52,-4.15
28831,4095,59576,219,99633,35.00,-8.59,-4.16
28853,4095,59576,203,99720,35.00,-8.43,-4.13
28875,4095,60088,211,99796,35.00,-7.84,-3.75
28897,4095,60088,212,99873,35.00,-8.60,-4.33
28919,4095,60088,212,99948,35.00,-8.88,-4.25
28941,4095,60088,204,100023,35.00,-8.71,-3.78
28963,4095,60856,201,100087,35.00,-8.63,-3.72
28985,4095,61368,205,100163,35.00,-8.84,-3.78
29027,4095,61560,203,99900,35.00,-8.80,-3.81
29049,4095,62840,204,99543,35.00,-8.78,-3.95
29071,4095,63736,207,99155,35.00,-8.62,-4.04
29093,4095,64248,209,98771,35.00,-8.69,-4.10
29115,4095,64248,210,98459,35.00,-8.69,-4.12
29137,364,65016,133,98206,35.00,-8.71,-3.98
29159,0,65016,155,98019,35.00,-8.85,-3.93
29181,0,65016,151,97862,35.00,-8.89,-3.83
29203,0,65016,149,97747,35.00,-8.98,-3.87
29225,0,65016,150,97685,35.00,-8.78,-3.77
29247,0,65016,157,97697,35.00,-8.79,-3.74
29288,0,65528,158,98037,35.00,-8.74,-3.85
29310,0,65528,167,98150,35.00,-8.70,-3.82
29332,0,65528,167,98242,35.00,-8.67,-3.89
29354,377,65528,167,98315,35.00,-8.62,-3.91
29376,0,65528,155,98381,35.00,-8.67,-3.92
29398,0,65016,149,98464,35.00,-8.75,-3.91
29420,0,65016,148,98545,35.00,-8.77,-3.98
29442,0,65016,142,98644,35.00,-8.89,-3.95
29464,0,65016,141,98742,35.00,-8.98,-3.94
29486,1563,65016,179,98852,35.00,-8.98,-3.94
29529,1935,65016,183,99140,35.00,-8.79,-4.07
29551,3412,64248,217,99246,35.00,-8.89,-3.97
29573,4068,64248,233,99357,35.00,-8.95,-4.02
29595,3973,64248,235,99446,35.00,-8.81,-4.11
29617,1295,64248,177,99533,35.00,-8.68,-4.14
29639,2380,64248,205,99622,35.00,-8.65,-4.05
29661,2164,64248,180,99723,35.00,-8.52,-4.09
29683,0,64248,147,99805,35.00,-8.67,-4.16
