Timestamp,ECG,GSR,Gas,Pulse_IR,Temp_Max,Label
949087,2030,0,183,135516,35.00,-6.22,-6.51
949109,2003,0,173,135363,35.00,-6.23,-6.52
949131,2202,0,185,135337,35.00,-6.25,-6.55
949153,2054,0,183,135328,35.00,-6.24,-6.61
949175,2183,0,196,135443,35.00,-6.25,-6.59
949197,1647,0,183,135346,35.00,-6.25,-6.59
949240,1109,0,169,135229,35.00,-6.24,-6.58
949262,1263,0,173,135298,35.00,-6.24,-6.57
949284,1659,0,176,135265,35.00,-6.21,-6.60
949306,1887,0,176,135259,35.00,-6.25,-6.59
949328,2039,0,179,135269,35.00,-6.24,-6.55
949350,1625,0,175,135304,35.00,-6.23,-6.57
949372,2297,0,189,135300,35.00,-6.24,-6.56
949394,3129,0,213,135297,35.00,-6.27,-6.62
949416,3409,0,231,135281,35.00,-6.27,-6.54
949438,2951,0,221,135263,35.00,-6.22,-6.59
949480,1927,0,204,135199,35.00,-6.22,-6.56
949502,852,0,187,135109,35.00,-6.25,-6.54
949524,295,0,175,135175,35.00,-6.27,-6.58
949546,599,0,175,135174,35.00,-6.24,-6.59
949568,1403,0,173,135132,35.00,-6.25,-6.61
949590,2569,0,180,135031,35.00,-6.21,-6.56
949612,3176,0,181,134986,35.00,-6.19,-6.57
949634,3759,0,201,134763,35.00,-6.21,-6.54
949656,3061,0,203,134134,35.00,-6.23,-6.63
949678,2282,0,210,133964,35.00,-6.26,-6.57
949721,1495,0,184,134221,35.00,-6.27,-6.53
949743,809,0,175,134329,35.00,-6.24,-6.57
949765,574,0,153,134475,35.00,-6.23,-6.57
949787,849,0,155,134567,35.00,-6.20,-6.57
949809,1252,0,154,134722,35.00,-6.23,-6.56
949831,1960,0,181,134838,35.00,-6.21,-6.56
949853,935,0,199,134922,35.00,-6.24,-6.56
949875,3003,0,237,134861,35.00,-6.23,-6.58
949897,3209,0,229,134839,35.00,-6.27,-6.58
949919,2999,0,206,134824,35.00,-6.26,-6.57
949961,2169,0,165,134765,35.00,-6.25,-6.57
949983,646,0,157,134679,35.00,-6.21,-6.57
950386,270,0,165,134793,33.98,-6.24,-6.56
950422,1189,0,163,135135,35.00,-6.22,-6.56
950444,626,0,155,135179,35.00,-6.23,-6.55
950466,551,0,151,135204,35.00,-6.23,-6.57
950488,1242,0,158,135233,35.00,-6.21,-6.58
950510,2277,0,185,135282,35.00,-6.24,-6.55
950532,3291,0,211,135295,35.00,-6.21,-6.56
950554,4095,0,219,135298,35.00,-6.23,-6.56
950576,4095,0,216,135296,35.00,-6.20,-6.59
950598,3629,0,189,135262,35.00,-6.25,-6.35
950620,2920,0,197,135247,35.00,-6.19,-6.41
950663,1455,0,163,135216,35.00,-6.32,-6.65
950685,1103,0,141,135297,35.00,-6.20,-6.56
950707,1287,0,149,135236,35.00,-6.19,-6.57
950729,2111,0,176,135329,35.00,-6.25,-6.54
950751,2367,0,189,135297,35.00,-6.22,-6.58
950773,3291,0,205,135341,35.00,-6.25,-6.54
950795,3563,0,207,135288,35.00,-6.23,-6.61
950817,3035,0,187,135345,35.00,-6.26,-6.57
950839,2067,0,165,135272,35.00,-6.21,-6.56
950861,979,0,151,135233,35.00,-6.22,-6.53
950903,407,0,149,135110,35.00,-6.28,-6.57
950925,503,0,149,135097,35.00,-6.24,-6.57
950947,775,0,157,135312,35.00,-6.23,-6.52
950969,1407,0,167,135228,35.00,-6.22,-6.58
