Timestamp,ECG,GSR,Gas,Pulse_IR,Temp_Max,Label
190667,1547,13323670,141,91818,35.00,-7.44,-4.50
190689,1755,13322006,151,91823,35.00,-7.41,-4.44
190711,2067,13322006,159,91849,35.00,-7.42,-4.50
190733,2321,13317990,168,91892,35.00,-7.43,-4.49
190755,2505,13314726,171,91915,35.00,-7.41,-4.49
190777,2421,13315494,157,91926,35.00,-7.41,-4.52
190819,2072,13316006,142,92133,35.00,-7.44,-4.50
190841,1741,13311942,135,92201,35.00,-7.39,-4.49
190863,1371,13314214,127,92215,35.00,-7.38,-4.44
190885,1415,13313318,135,92256,35.00,-7.35,-4.48
190907,1615,13311430,142,92290,35.00,-7.36,-4.46
190929,1735,13305606,151,92328,35.00,-7.42,-4.46
190951,2221,13302010,165,92430,35.00,-7.42,-4.48
190973,2357,13297466,167,92520,35.00,-7.41,-4.51
190995,2440,13293402,165,92570,35.00,-7.41,-4.45
191567,1583,13291418,139,92578,36.76,-7.47,-4.52
191601,2147,65540,163,92509,35.00,-7.41,-4.51
191623,1182,59192,127,92560,35.00,-7.40,-4.54
191645,1356,59576,143,92655,35.00,-7.40,-4.51
191667,1726,56792,152,92738,35.00,-7.39,-4.50
191689,1989,55512,157,92775,35.00,-7.42,-4.54
191711,2297,55128,167,92802,35.00,-7.42,-4.54
191733,2438,54616,169,92856,35.00,-7.44,-4.55
191755,2357,54616,163,92917,35.00,-7.44,-4.49
191777,2095,55128,151,92975,35.00,-7.39,-4.51
191799,1709,55128,137,92990,35.00,-7.40,-4.53
191842,1399,55512,134,91626,35.00,-7.38,-4.56
191864,1318,55128,136,91245,35.00,-7.40,-4.52
191886,1583,55512,152,91116,35.00,-7.40,-4.51
191908,1927,56024,159,91217,35.00,-7.39,-4.52
191930,2181,56024,168,91422,35.00,-7.41,-4.50
191952,2345,56792,168,91621,35.00,-7.39,-4.53
191974,2407,56024,160,91762,35.00,-7.40,-4.51
191996,2143,56024,151,91874,35.00,-7.41,-4.49
192585,1763,56024,139,91971,36.90,-7.43,-4.50
192623,1847,0,157,91220,35.00,-7.41,-4.55
192645,1560,0,141,91346,35.00,-7.40,-4.58
192667,1717,0,160,91538,35.00,-7.42,-4.58
192689,1981,0,171,91748,35.00,-7.37,-4.63
192711,2311,24624,173,91888,35.00,-7.38,-4.62
192733,2219,39624,165,91999,35.00,-7.40,-4.63
192755,2187,40392,150,92088,35.00,-7.35,-4.60
192777,1954,36936,139,92145,35.00,-7.40,-4.58
192799,1509,13664,125,92186,35.00,-7.44,-4.62
192821,1415,4160,136,92189,35.00,-7.38,-4.62
192843,1340,1792,139,92181,35.00,-7.43,-4.57
192884,1775,512,151,92191,35.00,-7.44,-4.57
192906,1883,0,155,92228,35.00,-7.42,-4.60
192928,2151,0,165,92253,35.00,-7.41,-4.58
192950,2428,0,168,92276,35.00,-7.41,-4.57
192972,2439,0,167,92313,35.00,-7.37,-4.58
192994,2227,0,155,92401,35.00,-7.38,-4.61
193356,1917,24624,147,92549,37.24,-7.37,-4.58
193385,1421,5952,127,91780,35.00,-7.39,-4.60
193407,1995,1280,159,92011,35.00,-7.38,-4.60
193429,2343,512,169,92204,35.00,-7.41,-4.59
193451,2388,0,165,92357,35.00,-7.40,-4.56
193473,2303,0,155,92466,35.00,-7.38,-4.56
193495,1835,0,141,92572,35.00,-7.40,-4.58
193517,1517,0,135,92657,35.00,-7.40,-4.61
193539,1292,0,135,92688,35.00,-7.42,-4.59
193561,1174,38216,139,92632,35.00,-7.32,-4.55
193583,1301,137410,147,92552,35.00,-7.47,-4.63
193605,1725,194426,159,92560,35.00,-7.39,-4.63
193646,2057,211174,166,92768,35.00,-7.62,-4.79
193668,1693,245790,155,92861,35.00,-6.85,-4.63
193690,1447,274529,157,92957,35.00,-7.20,-4.88
193712,2341,288561,165,93015,35.00,-7.44,-4.67
193734,2328,292721,149,93056,35.00,-7.39,-4.82
193756,2019,292721,139,93091,35.00,-7.28,-4.76
193778,2108,291441,142,93153,35.00,-7.44,-4.79
193800,1629,290929,139,93204,35.00,-7.40,-4.71
193822,1737,290737,149,93258,35.00,-7.40,-4.69
193844,2009,288945,159,93305,35.00,-7.43,-4.74
193887,2195,289457,173,93292,35.00,-7.41,-4.73
193909,2533,285393,168,93311,35.00,-7.38,-4.73
193931,2345,286769,165,93356,35.00,-7.40,-4.68
193953,2126,286769,153,93440,35.00,-7.35,-4.70
193975,1706,286769,143,93545,35.00,-7.37,-4.67
193997,1447,286673,137,93583,35.00,-7.40,-4.71
194366,1320,286673,137,93481,36.86,-7.41,-4.69
194408,2391,307305,173,93116,35.00,-7.39,-4.71
194430,2229,302537,159,93199,35.00,-7.36,-4.73
194452,2153,305833,151,93259,35.00,-7.47,-4.80
194474,1437,307817,137,93321,35.00,-7.45,-4.81
194496,1087,307817,136,93382,35.00,-7.26,-4.80
194518,1379,307817,140,93433,35.00,-7.41,-4.77
194540,1851,308585,149,93503,35.00,-7.38,-4.79
194562,1989,307305,155,93557,35.00,-7.38,-4.72
194584,2251,307113,168,93605,35.00,-7.41,-4.75
194606,2349,305833,169,93630,35.00,-7.40,-4.74
194648,2351,305321,171,93754,35.00,-7.37,-4.73
194670,2333,303049,157,93787,35.00,-7.41,-4.67
194692,2091,305321,149,93817,35.00,-7.40,-4.72
194714,1633,307305,136,93816,35.00,-7.36,-4.73
194736,1379,305321,127,93849,35.00,-7.38,-4.72
194758,1315,305833,135,93940,35.00,-7.39,-4.73
194780,1509,309481,142,93898,35.00,-7.39,-4.73
194802,1719,310761,150,93507,35.00,-7.35,-4.65
194824,2003,310761,163,92937,35.00,-7.35,-4.70
194846,2301,311833,169,92481,35.00,-7.39,-4.75
194868,2347,311833,167,92206,35.00,-7.41,-4.73
194909,2216,311321,154,92526,35.00,-7.37,-4.73
194931,2091,309481,148,92727,35.00,-7.38,-4.71
194953,1742,310761,140,92863,35.00,-7.39,-4.72
194975,1405,311273,133,92958,35.00,-7.41,-4.69
194997,1307,309993,135,93040,35.00,-7.39,-4.72
195383,1426,309993,139,93124,36.78,-7.33,-4.71
195411,2284,318169,167,93763,35.00,-7.40,-4.71
195433,1455,312601,125,93815,35.00,-7.42,-4.71
195455,1389,315289,135,93908,35.00,-7.42,-4.68
195477,1335,315289,137,93974,35.00,-7.40,-4.70
195499,1399,315289,142,93862,35.00,-7.37,-4.73
195521,1741,315481,156,93422,35.00,-7.40,-4.70
195543,2119,315289,165,92868,35.00,-7.40,-4.69
195565,2287,314777,168,92437,35.00,-7.40,-4.68
195587,2387,314777,165,92197,35.00,-7.38,-4.71
195609,2213,313113,155,92193,35.00,-7.39,-4.75
195651,1897,311321,143,92726,35.00,-7.41,-4.72
195673,1543,309993,139,92888,35.00,-7.40,-4.70
195695,1243,311321,133,93010,35.00,-7.38,-4.66
195717,1351,311321,140,93178,35.00,-7.38,-4.71
195739,1460,310761,148,93330,35.00,-7.36,-4.70
